, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  24  Sequence:  1  Sequence mean error:  tensor(0.8058, device='cuda:0')  Sequence final error:  tensor(1.4135, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  24  Sequence:  2  Sequence mean error:  tensor(0.8029, device='cuda:0')  Sequence final error:  tensor(1.1183, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  24  Sequence:  3  Sequence mean error:  tensor(0.8135, device='cuda:0')  Sequence final error:  tensor(1.4131, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  24  Sequence:  4  Sequence mean error:  tensor(0.8337, device='cuda:0')  Sequence final error:  tensor(1.3183, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  24  Sequence:  5  Sequence mean error:  tensor(0.5752, device='cuda:0')  Sequence final error:  tensor(0.7756, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  25  Sequence:  1  Sequence mean error:  tensor(0.5738, device='cuda:0')  Sequence final error:  tensor(0.7003, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  25  Sequence:  2  Sequence mean error:  tensor(0.6531, device='cuda:0')  Sequence final error:  tensor(1.2880, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  25  Sequence:  3  Sequence mean error:  tensor(0.6584, device='cuda:0')  Sequence final error:  tensor(1.2900, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  25  Sequence:  4  Sequence mean error:  tensor(0.6695, device='cuda:0')  Sequence final error:  tensor(1.3130, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  25  Sequence:  5  Sequence mean error:  tensor(0.6733, device='cuda:0')  Sequence final error:  tensor(1.3654, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  26  Sequence:  1  Sequence mean error:  tensor(0.6367, device='cuda:0')  Sequence final error:  tensor(0.6242, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  26  Sequence:  2  Sequence mean error:  tensor(0.5240, device='cuda:0')  Sequence final error:  tensor(0.7492, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  26  Sequence:  3  Sequence mean error:  tensor(0.6533, device='cuda:0')  Sequence final error:  tensor(1.1699, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  26  Sequence:  4  Sequence mean error:  tensor(0.5784, device='cuda:0')  Sequence final error:  tensor(0.8342, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  26  Sequence:  5  Sequence mean error:  tensor(0.5602, device='cuda:0')  Sequence final error:  tensor(0.4771, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  27  Sequence:  1  Sequence mean error:  tensor(0.5429, device='cuda:0')  Sequence final error:  tensor(0.7961, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  27  Sequence:  2  Sequence mean error:  tensor(0.5785, device='cuda:0')  Sequence final error:  tensor(0.8496, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  27  Sequence:  3  Sequence mean error:  tensor(0.5085, device='cuda:0')  Sequence final error:  tensor(0.8146, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  27  Sequence:  4  Sequence mean error:  tensor(0.6513, device='cuda:0')  Sequence final error:  tensor(1.2993, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  27  Sequence:  5  Sequence mean error:  tensor(0.6520, device='cuda:0')  Sequence final error:  tensor(1.1885, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  28  Sequence:  1  Sequence mean error:  tensor(0.7303, device='cuda:0')  Sequence final error:  tensor(1.6861, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  28  Sequence:  2  Sequence mean error:  tensor(0.6784, device='cuda:0')  Sequence final error:  tensor(1.5051, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  28  Sequence:  3  Sequence mean error:  tensor(0.5725, device='cuda:0')  Sequence final error:  tensor(0.4897, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  28  Sequence:  4  Sequence mean error:  tensor(0.5169, device='cuda:0')  Sequence final error:  tensor(0.3519, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  28  Sequence:  5  Sequence mean error:  tensor(0.5484, device='cuda:0')  Sequence final error:  tensor(0.9053, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  29  Sequence:  1  Sequence mean error:  tensor(0.6636, device='cuda:0')  Sequence final error:  tensor(1.7457, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  29  Sequence:  2  Sequence mean error:  tensor(0.5946, device='cuda:0')  Sequence final error:  tensor(0.7053, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  29  Sequence:  3  Sequence mean error:  tensor(1.4979, device='cuda:0')  Sequence final error:  tensor(2.4224, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  29  Sequence:  4  Sequence mean error:  tensor(1.9899, device='cuda:0')  Sequence final error:  tensor(4.7573, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  29  Sequence:  5  Sequence mean error:  tensor(2.0176, device='cuda:0')  Sequence final error:  tensor(3.7791, device='cuda:0')  time:  0.29308509826660156
(epoch 27), valid_loss = 2.747, valid_mean_err = 0.860, valid_final_err = 1.683
Best epoch 14 Best validation loss 2.1276671483759477 Best error epoch 16 Best error tensor(1.2527, device='cuda:0')
Saving model
****************Training epoch beginning******************
--------------------------------------------------------------------------
Dataset type switching: validation -----> training
Loading train or test dataset:  ./data/train/trajectories_train.cpkl
Sequence size(frame) ------> 20
One batch size (frame)--->- 100
Training data from training dataset(name, # frame, #sequence)-->  biwi_hotel.txt : 2900 : 145
Validation data from training dataset(name, # frame, #sequence)-->  biwi_hotel.txt : 0 : 0
Training data from training dataset(name, # frame, #sequence)-->  biwi_hotel_0.txt : 2900 : 145
Validation data from training dataset(name, # frame, #sequence)-->  biwi_hotel_0.txt : 0 : 0
Total number of training batches: 58
Total number of validation batches: 0
1624/1740 (epoch 28), train_loss = -3.216, time/batch = 0.250
1625/1740 (epoch 28), train_loss = -3.831, time/batch = 0.254
1626/1740 (epoch 28), train_loss = -2.078, time/batch = 0.231
1627/1740 (epoch 28), train_loss = -1.777, time/batch = 0.262
1628/1740 (epoch 28), train_loss = -2.735, time/batch = 0.314
1629/1740 (epoch 28), train_loss = -1.606, time/batch = 0.372
1630/1740 (epoch 28), train_loss = -1.698, time/batch = 0.300
1631/1740 (epoch 28), train_loss = -2.283, time/batch = 0.385
1632/1740 (epoch 28), train_loss = -0.813, time/batch = 0.309
1633/1740 (epoch 28), train_loss = -1.229, time/batch = 0.460
1634/1740 (epoch 28), train_loss = -1.129, time/batch = 0.607
1635/1740 (epoch 28), train_loss = -1.123, time/batch = 0.571
1636/1740 (epoch 28), train_loss = -1.943, time/batch = 0.425
1637/1740 (epoch 28), train_loss = -1.072, time/batch = 0.326
1638/1740 (epoch 28), train_loss = -1.236, time/batch = 0.323
1639/1740 (epoch 28), train_loss = -0.167, time/batch = 0.268
1640/1740 (epoch 28), train_loss = -1.106, time/batch = 0.244
1641/1740 (epoch 28), train_loss = -1.228, time/batch = 0.281
1642/1740 (epoch 28), train_loss = -1.237, time/batch = 0.289
1643/1740 (epoch 28), train_loss = -2.418, time/batch = 0.460
